movieid,name,year,length,genres,rate,poster,plot,trailer
tt0348150,Superman Returns,2006,154,Action|Adventure|Sci-Fi,6.1,https://ia.media-imdb.com/images/M/MV5BMTU3NzA5MjI0Nl5BMl5BanBnXkFtZTcwMTEwNzMzMQ@@._V1_.jpg,"Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",https://video-http.media-imdb.com/MV5BMjEzOTIyNTUyNF5BMTFeQXdlYm1eQW1lNzAwNjQxNTQ5.webm?Expires=1524560498&Signature=sPnfczP0LMqoA-sXA7ymyPUHzz-M~nw4tKWT76VXBy4GGsncO6OEKTTyetO~LbN4moT7PhagiIIVvzA1z2B2RE-7GhaXknVY7w191Z4JfFzNBv52n9I27yH7cVl3AIAs28KLN2-L-zGgN84bkMU2ah6K568BYRP7L7BSdP2Klw8_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0830515,Quantum of Solace,2008,106,Action|Adventure,6.6,https://ia.media-imdb.com/images/M/MV5BMjZiYTUzMzktZWI5Yy00Mzk4LWFlMDgtYjRmNWU0Mzc0MzNiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource.,https://video-http.media-imdb.com/MV5BMzdjODk0ODYtNmY1My00N2U0LWIwNDAtNDYxMmI2YjZkYzQ0XkExMV5Bd2VibV5BaW1kYi1ldHMtdHJhbnNjb2Rl.webm?Expires=1524560500&Signature=PcZD6NbHRlsWtbPQPY0baFPD-sFR08Z1AA0jK~Hw7n5vRujGoxZhQN6pyOX69JflB0jN~Woza-2sBQAfFestHFejYLsnedwFPqnGNbRlDTqPcRkTh5al~qOU3gpRUIPusKPVP8YRfoy30QyUmRvZkUd68n-zBVWDm-oXKpFcFCU_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006,151,Action|Adventure|Fantasy,7.3,https://ia.media-imdb.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_.jpg,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",https://www.totaleclips.com/Player/Bounce.aspx?eclipid=e32228&bitrateid=455&vendorid=102&type=.mp4
tt1210819,The Lone Ranger,2013,150,Action|Adventure|Western,6.5,https://ia.media-imdb.com/images/M/MV5BMjI3Mjk5MTUxOV5BMl5BanBnXkFtZTcwNTMyNzY3OQ@@._V1_.jpg,"Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.",https://video-http.media-imdb.com/MV5BMTM5OTgwNDI3OF5BMTFeQW1wNF5BbWU3MDIwOTc1NTk@.mp4?Expires=1524560501&Signature=18c8f8ea6YBNdROuBj3cozoKg30Qd~kvjIqy1bN870IfFCRpQCDNsGNSF~esSMI6BT1BlrJfnofAJjDZF5aI0l5QvEhVCv7H35di7a~h~ayaMszmUkCA8TjLnH6d4T-mkYUxlHnTsDJ2VxIbNk0cqsqvLiqa9bxTHetqNUCdOXk_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0770828,Man of Steel,2013,143,Action|Adventure|Fantasy|Sci-Fi,7.1,https://ia.media-imdb.com/images/M/MV5BMTk5ODk1NDkxMF5BMl5BanBnXkFtZTcwNTA5OTY0OQ@@._V1_.jpg,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",https://video-http.media-imdb.com/MV5BMjM2MDg0Mzk4N15BMTFeQW1wNF5BbWU3MDQ4NDI1NTk@.mp4?Expires=1524560502&Signature=hTsCbAkiNQqI63b-H0Lmx3ZWEWoTuyyQVI1Xthk6ZZHdM5TBwOf1B~Nan5q51O4tHWHzJzHm393oTRENGrYaRcP1Ren0lS77m4rQ9FEkPz0MPC3HxpBgocyXXatyF4EYeamq1cewxc~O5Xw-wGjfjNXSy7tYWrQTaaUZKkWE37c_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0499448,The Chronicles of Narnia: Prince Caspian,2008,150,Action|Adventure|Family|Fantasy,6.5,https://ia.media-imdb.com/images/M/MV5BMTIwOTA4NTE4Ml5BMl5BanBnXkFtZTcwOTI2NTg1MQ@@._V1_.jpg,"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.",https://video-http.media-imdb.com/MV5BMGQ2YTYzZGUtOTJkNy00NjU5LWI2YWQtODI2MGE5YTNkZGEzXkExMV5Bd2VibV5BaW1kYi1ldHMtdHJhbnNjb2Rl.webm?Expires=1524560503&Signature=4HFKXn3cFAWgEstvfEEZasSe7w13bLgbhnPfYb5VF8row3HuYkTYM25nSX0kO2-qzKnJOBqBT4IFO1IpKZSSCZ0oS4nBN~2HezUrQxHFOTgk4vrTP9pl~1RgrNkR~zukrUWmsrOeQBTa5ajJvG3PCWn14QJLGKZJ18XH0TUq7EM_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0848228,The Avengers,2012,143,Action|Adventure|Sci-Fi,8.1,https://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_.jpg,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,https://video-http.media-imdb.com/MV5BNTI1MjgxNTM0N15BMTFeQXdlYm1eQW1lNzA5Nzk4NTA4.webm?Expires=1524560504&Signature=J4PU0e1tq~BynHW1p5BeTVC6NkMEWDtmhZ8Ys86HgKrLEOQEaHytd-rYEZRwjvCrHC8NeAGDz7V~o1IGhE9cEpFqi3XOlKLyUo3nMbTprpu5PC8TZ-IH9QYTE19C-p2P29MSZ80pcd1HInosHIAU5f7cG~zQVyq6VCSUp~oCjkE_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt1298650,Pirates of the Caribbean: On Stranger Tides,2011,136,Action|Adventure|Fantasy,6.6,https://ia.media-imdb.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_.jpg,"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.",https://video-http.media-imdb.com/MV5BMTc4MzM3NTkyM15BMTFeQW1wNF5BbWU3MDQ4OTk5MzU@.mp4?Expires=1524560506&Signature=V3Lsu2vd~Ds~PNmhZuzqGj1-lw7wr1pgSJ-RWsGTf2HflBOYf6x9JRPr1KGkuoI3kl~F5nOR4e-TIBR98N3iQL2jaC6c8XQbKuWPKd7YOlGpwgVzj--TbXXVVLVzzFTIafIGAsJsBrtl6-WUFBIUp2xCWZMWaDxQMK2skJcpSMU_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt1409024,Men in Black 3,2012,106,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,6.8,https://ia.media-imdb.com/images/M/MV5BMTU2NTYxODcwMF5BMl5BanBnXkFtZTcwNDk1NDY0Nw@@._V1_.jpg,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,https://video-http.media-imdb.com/MV5BZTAzNWZjMmUtNDU5Ny00NDM2LWExYzYtNzE2NjkxZThhNGIyXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560507&Signature=LWxt56x4A6etMj5WBCDtQw4vZqXVwpbfeVbnl~eu2UHy7w88VIxY1XmZZhMq8tsACsZ~7m-P3ezOvH-sKtOTUFVsegWuojcLoIqoqQ5i8y0J4G2HlhbeBIuOrrADxCNUtauDw4ySm2o-XaqLJ3tlpNTco0qWF2BO-wXgypovoKA_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt2310332,The Hobbit: The Battle of the Five Armies,2014,144,Adventure|Fantasy,7.4,https://ia.media-imdb.com/images/M/MV5BODAzMDgxMDc1MF5BMl5BanBnXkFtZTgwMTI0OTAzMjE@._V1_.jpg,Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,https://video-http.media-imdb.com/MV5BMTc3NjQzMzg0OV5BMTFeQXdlYm1eQW1lODAxNzMwODMzMQ@@.webm?Expires=1524560508&Signature=ukxnIeLk2XLE3-IPJ1DIT9dn-kRh1R5xzyC7zVGC9O0YFa--LjzeWAjKCl8Gxu8GUEDwuANinJqvKCtFcX-mJK2xpTN1qu8I489JgfdkVuiumrv7gr76Dc72-uFjzjkzQ6yYv9eDwXYjJ1ppMsfeEhN5pzfybJ79QO9l1Wz1O9E_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0948470,The Amazing Spider-Man,2012,136,Action|Adventure|Fantasy,7,https://ia.media-imdb.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_.jpg,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",https://video-http.media-imdb.com/MV5BMTQzMjU4NzM0M15BMTFeQXdlYm1eQW1lNzA5NDU1MTg3.webm?Expires=1524560509&Signature=2mBdGtFP0It5Zs~e3L8T17Ue2XrBxYgdVoyqMSYmIBrBOAOmom64oHvyKkMGXDAN2b4JitRsvpcap50GDBbwEgGSTzZqnqlqXc3KT2dJDBnyJc8ooplSrh4ugXehauOb-D7vIcuduaiPTPvKOU5dCW1XuVoGKWBcuNLzILt6Tj0_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0955308,Robin Hood,2010,140,Action|Adventure|Drama|History,6.7,https://ia.media-imdb.com/images/M/MV5BMTM5NzcwMzEwOF5BMl5BanBnXkFtZTcwNjg5MTgwMw@@._V1_.jpg,"In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power.",https://video-http.media-imdb.com/MV5BYTdiNzA2ZGQtMTUzZC00ZjVkLWI3M2ItZTg0Y2VhNzAwYjRlXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560510&Signature=QmB3Jt8HO1rGg1YqHBVeRpidB4FKDCuAnonrGjIPPzakr8B2vUaaH9bMS-PzKCNDCb4J81q~toyLOVZruVqtr4cPzjnoptXY0XP94y~j4~E28BQsyGaZE7uGsciYFbaCFwwyBrj-G9jPO6Y0JEFeHWi4joQ77j1IPSkq2pGRd78_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt1170358,The Hobbit: The Desolation of Smaug,2013,161,Adventure|Fantasy,7.9,https://ia.media-imdb.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1_.jpg,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",https://video-http.media-imdb.com/MV5BODdmYjZkNWMtNjA2MC00YjhjLWE0ZmItMTlkOTI1M2E2M2FkXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560511&Signature=XcNZtfxKa07SR4iR3NdTks~UJFDw8hGao8c7uWObOvI7WH~c-~z68VXpPm3UJRzeOKuzVrfNsoII~dfNNQHXyTLukhjAoNLvOy3UA24QwAF2eQuAvvpUQ9s20vZ34QS23AsNVNp5~YRJTyX4dL8faL6mseTB9SvQa70IWWtjchQ_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0385752,The Golden Compass,2007,113,Adventure|Family|Fantasy,6.1,https://ia.media-imdb.com/images/M/MV5BMTM2NDkxMjQxMV5BMl5BanBnXkFtZTYwNTMxMDM4._V1_.jpg,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",https://video-http.media-imdb.com/MV5BMTgwMTI4NjAyOV5BMTFeQW1wNF5BbWU3MDQ1MzkzMzM@.mp4?Expires=1524560512&Signature=skwBkY56kQ8OFtegA3NXkQka9dnbeW4FatELEgtUKSE8qogNX5Be7qBGCTCcWcs8t6K4XOa3iKhFxyrCKOoRrIMIlDSCd85exL6TxvbDSpmHugQ~gjB-BuIZMtyjo87BT7rOLwYjUTIDPP0pjS0fVE2-gOLoMOVYPhg78Fe5D0A_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0360717,King Kong,2005,187,Action|Adventure|Drama|Romance,7.2,https://ia.media-imdb.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to the mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with leading lady Ann Darrow.",https://www.totaleclips.com/Player/Bounce.aspx?eclipid=e61030&bitrateid=471&vendorid=102&type=.mp4
tt0120338,Titanic,1997,194,Drama|Romance,7.8,https://ia.media-imdb.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_.jpg,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",https://video-http.media-imdb.com/MV5BYmFkNGEwYjAtNjYxOS00YWNhLTk3YTYtZWZmMTg3MzRlMmM4XkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560514&Signature=DvEeneEkooVWs8Ws3cPLYqNHLpO-8dS1VBAzW21-aaVXtwF73YfCAc1eAILRiZOq1plSEyfwRMY9KJkTtSLYaQsV20ZEvHMqM2X0iuMXl0~WQ7euiKy59JmTM0~tGnQg6vqvJPz9n9HXlua2Dhnkil7prRZL7th3X6TAAIuWpC0_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt3498820,Captain America: Civil War,2016,147,Action|Adventure|Sci-Fi,7.8,https://ia.media-imdb.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_.jpg,Political involvement in the Avengers' activities causes a rift between Captain America and Iron Man.,https://video-http.media-imdb.com/MV5BZDg1MTUyZjEtZmMwYi00NzJkLWEzOTItZjI4MmYyNTU2N2FhXkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560516&Signature=nABYybp~IrfUfpjiDLp~yOkAU~8bnx4W37XQjImn5vUCT7RXHNIUp1A-BMu2bdmu424wcZgZWIL1Ml6Bg9w~n8ucRKrF9bHuv9scjsL5A8ovxpwFFq53NHv-4kBIsr9JpNg9b-yiLbQ3nB1AtJt5Myo1msdSgl6qwG51r0~LT0Q_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt1440129,Battleship,2012,131,Action|Adventure|Sci-Fi|Thriller,5.8,https://ia.media-imdb.com/images/M/MV5BMjI5NTM5MDA2N15BMl5BanBnXkFtZTcwNjkwMzQxNw@@._V1_.jpg,A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,https://video-http.media-imdb.com/MV5BZDJlYTgxNDYtOTRiNC00YjdhLWFkMTMtNzAxOGMzZmNjMGVjXkExMV5Bd2VibV5BaW1kYi1ldHMtdHJhbnNjb2Rl.webm?Expires=1524560517&Signature=hfhulZ9d3MRAQACxaWlg4y~vb1lwYn2n6o-U~91xoQW1TXSKJW75xIyc-bLTm1tN8jfovMARI6Kq4bC4J5Ezzj1vfp5~sRF9A6Tm81a9UzuaobEKtONFYDPcp~qdnSe0kgIwt3xVl2X44l1umvy4fDKz4VJtPldTUpga69DC89s_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0369610,Jurassic World,2015,124,Action|Adventure|Sci-Fi|Thriller,7,https://ia.media-imdb.com/images/M/MV5BNWEyNTE0YTEtY2FkMi00MmY3LTg4MWMtODdjYjRkNGM4ZTZhXkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_.jpg,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",https://video-http.media-imdb.com/MV5BNTg0NzEzMTEtODk3NS00NTI0LWE5NTktNzM2MjZkOGIwNjg3XkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1524560518&Signature=NTxDiSUoTIyHjyisL1OxZvS8qe~7~W87bJLX31ShOQ5NYuZfH0c6jUohZ9symOti5wVy87iyvAcohNewS0p3eKkfp9GzMD5HpCkDTtAcoOPAT6tO2fyeST4HIRMKMGuKRxArWsAlm9y7WPEEUpbcPlG2szCFyOB5csscE7R3xN8_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt1074638,Skyfall,2012,143,Action|Adventure|Thriller,7.8,https://ia.media-imdb.com/images/M/MV5BNDVhZmJiYWMtNmIzMC00ZWNiLTkzZDYtNGNlZmViMGM4OGExXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",https://video-http.media-imdb.com/MV5BMTU5MDA1NDgxNl5BMTFeQXdlYm1eQW1lNzAxODE5MjY4.webm?Expires=1524560519&Signature=P0URVxSVODmeA3OHYrwKm8N1lxv5ch1JTTDr1X0vH-tN3ghn1h3lNxSQpwuPzQQ75AIxPt--Vrp2bRxvpA3TKbMmul6TQuIWvadrT2SNgw02m0yso6ydMLB43BXk2dFcLgwSRLvUMWm6kLYLpN7l5nGG163jj5AHnMmA5awIAQE_&Key-Pair-Id=APKAILW5I44IHKUN2DYA
tt0316654,Spider-Man 2,2004,127,Action|Adventure|Fantasy|Romance,7.3,https://ia.media-imdb.com/images/M/MV5BMzY2ODk4NmUtOTVmNi00ZTdkLTlmOWYtMmE2OWVhNTU2OTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,https://www.totaleclips.com/Player/Bounce.aspx?eclipid=e20182&bitrateid=471&vendorid=102&type=.mp4
